Date,Open,High,Low,Close,Volume,__Cc1_ID_High,__Sc1_ID_High,__Sbc1_D_High,__Hgc1_D_High,__Gcc1_D_High,__Ccc1_D_High,__Kcc1_D_High,__Ctc1_D_High,__Boc1_D_High,__Lcc1_D_High,__Lhc1_D_High,__Smc1_D_High,__Oc1_ID_High,__Wc1_ID_High,__Plc1_D_High,__NGC1_D_High,__PAC1_D_High,__SIC1_D_High,Gross domestic product,Personal consumption expenditures,Goods,Durable goods,Nondurable goods,Services,Gross private domestic investment,Fixed investment,Nonresidential,Structures,Equipment,Intellectual property products,Residential,Change in private inventories,Net exports of goods and services,Exports,Goods.1,Services.1,Imports,Goods.2,Services.2,Government consumption expenditures and gross investment,Federal,National defense,Nondefense,State and local
2000/1/3,1477.87,1478,1438.36,1455.22,37405,205.75,466,6.18,0.8525,288.5,846,124,51.1,15.9,69.9,56.3,148,110,251.5,424.8,2.42,450.2,547,10002.9,6613.6,2413.1,920.9,1492.2,4200.5,1950.7,1934.5,1450.3,300.6,749.4,400.3,484.2,16.2,-352.1,1054.2,761.6,292.6,1406.3,1193.7,212.6,1790.7,620.4,383,237.3,1170.4
2000/1/4,1446.4301,1455.22,1397.4301,1399.42,93180,203.5,466,6.11,0.846,282.7,841,120.5,50.97,15.65,69.375,55.85,148.7,109,248,416.3,2.2,441.9,540,10002.9,6613.6,2413.1,920.9,1492.2,4200.5,1950.7,1934.5,1450.3,300.6,749.4,400.3,484.2,16.2,-352.1,1054.2,761.6,292.6,1406.3,1193.7,212.6,1790.7,620.4,383,237.3,1170.4
2000/1/5,1395.0699,1413.27,1377.6801,1402.11,100900,203.25,470,5.9,0.8475,283.2,850,121,51.84,15.78,69.225,55.9,150.8,109.5,250,405.1,2.2,436.3,534.5,10002.9,6613.6,2413.1,920.9,1492.2,4200.5,1950.7,1934.5,1450.3,300.6,749.4,400.3,484.2,16.2,-352.1,1054.2,761.6,292.6,1406.3,1193.7,212.6,1790.7,620.4,383,237.3,1170.4
2000/1/6,1398.5,1411.9,1392.02,1403.45,108550,205.75,473,5.94,0.845,281.4,847,121.4,52.1,15.87,70.25,55.55,151.4,110,251,394.7,2.22,434.5,523.5,10002.9,6613.6,2413.1,920.9,1492.2,4200.5,1950.7,1934.5,1450.3,300.6,749.4,400.3,484.2,16.2,-352.1,1054.2,761.6,292.6,1406.3,1193.7,212.6,1790.7,620.4,383,237.3,1170.4
2000/1/7,1401.03,1441.47,1400.53,1441.47,109230,207.75,472,5.88,0.85,281.9,855,117.75,54.05,15.9,71.175,56.75,149.7,109.5,252,397.8,2.23,442.3,523.5,10002.9,6613.6,2413.1,920.9,1492.2,4200.5,1950.7,1934.5,1450.3,300.6,749.4,400.3,484.2,16.2,-352.1,1054.2,761.6,292.6,1406.3,1193.7,212.6,1790.7,620.4,383,237.3,1170.4
2000/1/10,1450.9301,1464.36,1441.47,1457.6,122520,209.25,469.25,5.93,0.8435,281.7,855,126,53.95,15.8,71.075,56.6,148.7,109.75,255,398.8,2.255,450.65,525,10002.9,6613.6,2413.1,920.9,1492.2,4200.5,1950.7,1934.5,1450.3,300.6,749.4,400.3,484.2,16.2,-352.1,1054.2,761.6,292.6,1406.3,1193.7,212.6,1790.7,620.4,383,237.3,1170.4
2000/1/11,1455.91,1458.85,1434.42,1438.5601,106480,209.25,470.75,5.8,0.841,283.4,853,118.25,54.2,15.74,71.475,56.375,149.8,110,256,397.9,2.265,447.55,524,10002.9,6613.6,2413.1,920.9,1492.2,4200.5,1950.7,1934.5,1450.3,300.6,749.4,400.3,484.2,16.2,-352.1,1054.2,761.6,292.6,1406.3,1193.7,212.6,1790.7,620.4,383,237.3,1170.4
2000/1/12,1439.0699,1445.29,1427.3199,1432.25,101400,216.75,479,5.62,0.859,282.7,855,120.5,54.6,15.8,71.075,56.25,153,111,260,400.6,2.285,449.75,523.5,10002.9,6613.6,2413.1,920.9,1492.2,4200.5,1950.7,1934.5,1450.3,300.6,749.4,400.3,484.2,16.2,-352.1,1054.2,761.6,292.6,1406.3,1193.7,212.6,1790.7,620.4,383,237.3,1170.4
2000/1/13,1435.97,1454.6,1432.25,1449.6801,97460,221.5,483.5,5.53,0.857,284.1,875,120,54.8,16.12,70.775,55.575,154,112,263.75,403.7,2.29,444.5,520.5,10002.9,6613.6,2413.1,920.9,1492.2,4200.5,1950.7,1934.5,1450.3,300.6,749.4,400.3,484.2,16.2,-352.1,1054.2,761.6,292.6,1406.3,1193.7,212.6,1790.7,620.4,383,237.3,1170.4
2000/1/14,1457.04,1473,1449.6801,1465.15,103040,221.75,490,5.6,0.8555,283.9,872,120.25,55.85,16.25,70.85,56.2,157.2,112.5,267.75,409.7,2.35,438.45,522,10002.9,6613.6,2413.1,920.9,1492.2,4200.5,1950.7,1934.5,1450.3,300.6,749.4,400.3,484.2,16.2,-352.1,1054.2,761.6,292.6,1406.3,1193.7,212.6,1790.7,620.4,383,237.3,1170.4
2000/1/18,1463.62,1465.15,1451.25,1455.14,108590,220.5,503,5.44,0.861,288.6,837,118.25,55.1,16.56,70.85,55.75,160.5,112.5,265.5,412.9,2.39,437.75,522.5,10002.9,6613.6,2413.1,920.9,1492.2,4200.5,1950.7,1934.5,1450.3,300.6,749.4,400.3,484.2,16.2,-352.1,1054.2,761.6,292.6,1406.3,1193.7,212.6,1790.7,620.4,383,237.3,1170.4
2000/1/19,1451.9301,1462.23,1448.65,1455.9,105670,221,504,5.5,0.875,289.8,845,118.25,57.76,16.77,70.825,56.625,160.7,113.75,267,425.4,2.465,441.35,522.5,10002.9,6613.6,2413.1,920.9,1492.2,4200.5,1950.7,1934.5,1450.3,300.6,749.4,400.3,484.2,16.2,-352.1,1054.2,761.6,292.6,1406.3,1193.7,212.6,1790.7,620.4,383,237.3,1170.4
2000/1/20,1459.1801,1465.5601,1438.5601,1445.5699,108780,221.5,506.75,5.6,0.873,288.8,859,118.8,57.8,16.46,70.1,56.375,163.1,114.25,265.75,425.4,2.58,449.4,530.5,10002.9,6613.6,2413.1,920.9,1492.2,4200.5,1950.7,1934.5,1450.3,300.6,749.4,400.3,484.2,16.2,-352.1,1054.2,761.6,292.6,1406.3,1193.7,212.6,1790.7,620.4,383,237.3,1170.4
2000/1/21,1449.36,1452.75,1439.54,1441.36,110070,223,507.5,5.52,0.867,289.3,865,113.5,58.6,16.36,69.925,57.2,163,115,266.25,425.7,2.635,455.5,532,10002.9,6613.6,2413.1,920.9,1492.2,4200.5,1950.7,1934.5,1450.3,300.6,749.4,400.3,484.2,16.2,-352.1,1054.2,761.6,292.6,1406.3,1193.7,212.6,1790.7,620.4,383,237.3,1170.4
2000/1/24,1444.4301,1454.25,1395.42,1401.53,120980,227.5,515.25,5.41,0.858,288,866,114.4,57.05,16.54,70.1,56.9,166,114.75,269,432.9,2.57,467.85,534,10002.9,6613.6,2413.1,920.9,1492.2,4200.5,1950.7,1934.5,1450.3,300.6,749.4,400.3,484.2,16.2,-352.1,1054.2,761.6,292.6,1406.3,1193.7,212.6,1790.7,620.4,383,237.3,1170.4
2000/1/25,1402.89,1414.26,1388.49,1410.03,111580,228.25,517.5,5.4,0.852,286.3,846,113.7,58,16.64,70.05,56.95,165.5,115.5,266.75,438.5,2.63,477,537.5,10002.9,6613.6,2413.1,920.9,1492.2,4200.5,1950.7,1934.5,1450.3,300.6,749.4,400.3,484.2,16.2,-352.1,1054.2,761.6,292.6,1406.3,1193.7,212.6,1790.7,620.4,383,237.3,1170.4
2000/1/26,1406.86,1412.53,1400.14,1404.09,107370,227,516.25,5.59,0.841,286.3,854,115.3,58.75,16.53,70.05,56.65,165.3,114.25,264.75,430.1,2.67,474.5,532.5,10002.9,6613.6,2413.1,920.9,1492.2,4200.5,1950.7,1934.5,1450.3,300.6,749.4,400.3,484.2,16.2,-352.1,1054.2,761.6,292.6,1406.3,1193.7,212.6,1790.7,620.4,383,237.3,1170.4
2000/1/27,1407.71,1418.95,1380.54,1398.5601,111730,226.5,528,5.52,0.8375,287.1,852,116.4,57.9,17.15,70.125,56.85,167.8,114.25,264,440.6,2.68,479.6,544,10002.9,6613.6,2413.1,920.9,1492.2,4200.5,1950.7,1934.5,1450.3,300.6,749.4,400.3,484.2,16.2,-352.1,1054.2,761.6,292.6,1406.3,1193.7,212.6,1790.7,620.4,383,237.3,1170.4
2000/1/28,1398.26,1398.5601,1356.14,1360.16,112950,226.75,529.5,5.57,0.8465,287.8,836,115.4,57.8,17.42,69.8,57.075,167.9,114.25,264.75,454.5,2.66,484.2,547.5,10002.9,6613.6,2413.1,920.9,1492.2,4200.5,1950.7,1934.5,1450.3,300.6,749.4,400.3,484.2,16.2,-352.1,1054.2,761.6,292.6,1406.3,1193.7,212.6,1790.7,620.4,383,237.3,1170.4
2000/1/31,1359.9,1394.5,1350.05,1394.46,109580,221.75,519.5,5.59,0.844,284.5,812,114,57.9,16.95,70.175,57.05,164.7,112.5,258.25,450.3,2.675,481.85,537.5,10002.9,6613.6,2413.1,920.9,1492.2,4200.5,1950.7,1934.5,1450.3,300.6,749.4,400.3,484.2,16.2,-352.1,1054.2,761.6,292.6,1406.3,1193.7,212.6,1790.7,620.4,383,237.3,1170.4
2000/2/1,1395.5601,1412.59,1384.75,1409.28,99380,222.25,511.5,5.42,0.8445,284,793,112.75,57.8,16.65,70.75,56.875,161.9,112.5,260,448.2,2.745,490.55,534,10002.9,6613.6,2413.1,920.9,1492.2,4200.5,1950.7,1934.5,1450.3,300.6,749.4,400.3,484.2,16.2,-352.1,1054.2,761.6,292.6,1406.3,1193.7,212.6,1790.7,620.4,383,237.3,1170.4
2000/2/2,1408.63,1420.53,1403.2,1409.12,98100,223,513,5.54,0.82,286.7,779,114.25,57.5,16.57,70.825,57.3,162.8,112,260,460.5,2.78,499.85,534,10002.9,6613.6,2413.1,920.9,1492.2,4200.5,1950.7,1934.5,1450.3,300.6,749.4,400.3,484.2,16.2,-352.1,1054.2,761.6,292.6,1406.3,1193.7,212.6,1790.7,620.4,383,237.3,1170.4
2000/2/3,1412.84,1425.78,1398.52,1424.97,103860,220.5,506,5.68,0.822,288.5,778,113.5,57.5,16.17,70.75,57.575,161.8,111.25,257,467.8,2.77,513.3,532,10002.9,6613.6,2413.1,920.9,1492.2,4200.5,1950.7,1934.5,1450.3,300.6,749.4,400.3,484.2,16.2,-352.1,1054.2,761.6,292.6,1406.3,1193.7,212.6,1790.7,620.4,383,237.3,1170.4
